来自资产处,,,,,,,,,,,,来自档案馆,,,,来自基建处,,,汇总结论,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),16层,1602,1602,普通教室,南京大学长江产业经济研究院,,66.65,36.70,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),16层,1603,1603,普通教室,南京大学长江产业经济研究院,,58.84,32.40,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),16层,1604,1604,普通教室,南京大学长江产业经济研究院,,112.61,62.00,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),16层,1605,1605,普通教室,南京大学长江产业经济研究院,,98.99,54.50,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),16层,1606,1606,普通教室,南京大学长江产业经济研究院,,47.94,26.40,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),16层,1607,1607,专用科研用房,南京大学长江产业经济研究院,,47.94,26.40,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),16层,1608,1608,专用科研用房,南京大学长江产业经济研究院,,98.99,54.50,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),16层,1609,1609,专用科研用房,南京大学长江产业经济研究院,,118.24,65.10,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),16层,1610,1610,专用科研用房,南京大学长江产业经济研究院,,53.76,29.60,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),16层,1611,1611,专用科研用房,南京大学长江产业经济研究院,,53.76,29.60,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),16层,1612,1612,专用科研用房,南京大学长江产业经济研究院,,118.24,65.10,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),16层,1613,1613,专用科研用房,南京大学长江产业经济研究院,,98.63,54.30,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),16层,1614,1614,专用科研用房,南京大学长江产业经济研究院,,48.13,26.50,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),16层,1615,1615,普通教室,南京大学长江产业经济研究院,,48.13,26.50,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),16层,1616,1616,普通教室,南京大学长江产业经济研究院,,97.90,53.90,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),17层,1701-1702,1701-1702,专用科研用房,研究机构,,228.75,125.94,,教育部哲学社会科学实验室,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),17层,1703,1703,专用科研用房,研究机构,,118.24,65.10,,教育部哲学社会科学实验室,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),17层,1704,1704,专用科研用房,研究机构,,101.06,55.64,,教育部哲学社会科学实验室,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),17层,1705,1705,专用科研用房,研究机构,,47.94,26.40,,教育部哲学社会科学实验室,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),17层,1706,1706,专用科研用房,研究机构,,47.94,26.40,,教育部哲学社会科学实验室,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),17层,1707,1707,专用科研用房,研究机构,,101.90,56.10,,教育部哲学社会科学实验室,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),17层,1708,1708,专用科研用房,研究机构,,118.24,65.10,,未设置电子密码；教育部哲学社会科学实验室,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),17层,1709,1709,专用科研用房,研究机构,,53.76,29.60,,电子锁密码180701；教育部哲学社会科学实验室,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),17层,1710,1710,专用科研用房,研究机构,,53.76,29.60,,教育部哲学社会科学实验室,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),17层,1711,1711,专用科研用房,研究机构,,118.24,65.10,,教育部哲学社会科学实验室,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),17层,1712,1712,专用科研用房,研究机构,,97.54,53.70,,教育部哲学社会科学实验室,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),17层,1713,1713,专用科研用房,研究机构,,48.13,26.50,,教育部哲学社会科学实验室,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),17层,1714,1714,专用科研用房,研究机构,,48.13,26.50,,教育部哲学社会科学实验室,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),17层,1715,1715,专用科研用房,研究机构,,99.36,54.70,,教育部哲学社会科学实验室,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),18层,1801,胡一桥教授实验室,正教授工作室,医学院,胡一桥,118.24,65.10,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),18层,1802,胡一桥教授实验室,正教授工作室,医学院,胡一桥,67.02,36.90,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),18层,1803,胡一桥教授实验室,正教授工作室,医学院,胡一桥,59.02,32.50,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),18层,1804,胡一桥教授实验室,正教授工作室,医学院,胡一桥,114.61,63.10,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),18层,1805-1807,胡一桥教授实验室,正教授工作室,医学院,胡一桥,299.15,164.70,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),18层,1808,胡一桥教授实验室,正教授工作室,医学院,胡一桥,118.24,65.10,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),18层,1809,胡一桥教授实验室,正教授工作室,医学院,胡一桥,53.76,29.60,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),18层,1810,胡一桥教授实验室,正教授工作室,医学院,胡一桥,53.76,29.60,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),18层,1811,胡一桥教授实验室,正教授工作室,医学院,胡一桥,118.24,65.10,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),18层,1812,胡一桥教授实验室,正教授工作室,医学院,胡一桥,99.36,54.70,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),18层,1813,胡一桥教授实验室,正教授工作室,医学院,胡一桥,48.13,26.50,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),18层,1814,胡一桥教授实验室,正教授工作室,医学院,胡一桥,48.13,26.50,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),18层,1815,胡一桥教授实验室,正教授工作室,医学院,胡一桥,99.36,54.70,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),19层,1901,中心实验室,普通实验室、实习场所,空置用房,,227.22,125.10,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),19层,1902,中心实验室,普通实验室、实习场所,空置用房,,116.48,64.13,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),19层,1903,中心实验室质谱室,普通实验室、实习场所,空置用房,,43.77,24.10,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),19层,1904,中心实验室,普通实验室、实习场所,空置用房,,50.49,27.80,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),19层,1905,中心实验室,普通实验室、实习场所,空置用房,,49.22,27.10,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),19层,1906,中心实验室,普通实验室、实习场所,空置用房,,101.35,55.80,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),19层,1907,中心实验室,普通实验室、实习场所,空置用房,,43.77,24.10,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),19层,1908,李尔广教授实验室,普通实验室、实习场所,空置用房,,69.74,38.40,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),19层,1909-1910,李尔广教授实验室,正教授工作室,空置用房,,166.56,91.70,,电子密码196210,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),19层,1911,中心实验室会议室,普通实验室、实习场所,空置用房,,104.44,57.50,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),19层,1912,中心实验室,普通实验室、实习场所,空置用房,,45.22,24.90,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),19层,1913,中心实验室仪器室,普通实验室、实习场所,空置用房,,52.30,28.80,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),19层,1914,中心实验室仪器室,普通实验室、实习场所,空置用房,,49.58,27.30,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),19层,1915,中心实验室仪器室,普通实验室、实习场所,空置用房,,49.58,27.30,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),19层,1916,中心试验室办公室,其他实验室及辅助用房,空置用房,,52.30,28.80,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),19层,1917,中心试验室耗材室,普通实验室、实习场所,空置用房,,45.22,24.90,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),20层,2001-2002,韩晓冬教授实验室,正教授工作室,医学院,韩晓冬,229.55,126.38,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),20层,2003,韩晓冬教授实验室,正教授工作室,医学院,韩晓冬,112.25,61.80,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),20层,2004-2005,王亚平教授实验室,正教授工作室,医学院,王亚平,168.92,93.00,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),20层,2006,王亚平教授实验室,正教授工作室,医学院,王亚平,87.36,48.10,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),20层,2007,魏继武教授实验室,正教授工作室,医学院,魏继武,114.61,63.10,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),20层,2008-2009,魏继武教授实验室侯亚义教授实验室,正教授工作室,医学院,"魏继武,侯亚义",226.31,124.60,2,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),20层,2010,侯亚义教授实验室,正教授工作室,医学院,侯亚义,88.45,48.70,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),20层,2011,侯亚义教授实验室,正教授工作室,医学院,侯亚义,80.82,44.50,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),20层,2012,侯亚义教授实验室,正教授工作室,医学院,侯亚义,88.46,48.70,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),21层,2101,吴稚伟教授实验室,正教授工作室,医学院,WUZHIWEI,111.52,61.40,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),21层,2102,吴稚伟教授实验室,正教授工作室,医学院,WUZHIWEI,59.75,32.90,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),21层,2103,吴稚伟教授实验室,正教授工作室,医学院,WUZHIWEI,58.30,32.10,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),21层,2104,吴稚伟教授实验室,正教授工作室,医学院,WUZHIWEI,111.52,61.40,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),21层,2105,动物房,普通实验室、实习场所,医学院,薛斌,86.81,47.80,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),21层,2106,动物房,普通实验室、实习场所,医学院,薛斌,39.04,21.50,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),21层,2107,动物房,普通实验室、实习场所,医学院,薛斌,39.04,21.50,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),21层,2108,动物房,普通实验室、实习场所,医学院,薛斌,41.59,22.90,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),21层,2109,动物房,普通实验室、实习场所,医学院,薛斌,43.77,24.10,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),21层,2110,李朝军教授实验室,正教授工作室,医学院,李朝军,118.24,65.10,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),21层,2111,李朝军教授实验室,正教授工作室,医学院,李朝军,53.03,29.20,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),21层,2112-2113,李朝军教授实验室,正教授工作室,医学院,李朝军,170.55,93.90,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),21层,2114,杨敬平教授实验室,正教授工作室,医学院,杨敬平,88.45,48.70,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),21层,2115,杨敬平教授实验室,正教授工作室,医学院,杨敬平,38.86,21.40,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),21层,2116,杨敬平教授实验室,正教授工作室,医学院,杨敬平,38.86,21.40,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),21层,2117,细胞房,普通实验室、实习场所,医学院,薛斌,88.45,48.70,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),22层,2201-2202,2201-2202,专用科研用房,现代生物研究院,,339.10,186.70,,林安宁团队,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),22层,2203,2203,专用科研用房,现代生物研究院,,83.91,46.20,,林安宁团队,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),22层,2204,2204,专用科研用房,现代生物研究院,,93.54,51.50,,林安宁团队,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),22层,2205,2205,专用科研用房,现代生物研究院,,37.59,20.70,,林安宁团队,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),22层,2206,2206,专用科研用房,现代生物研究院,,36.50,20.10,,林安宁团队,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),22层,2207,2207,专用科研用房,现代生物研究院,,342.01,188.30,,林安宁团队,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),22层,2208,2208,专用科研用房,现代生物研究院,,25.42,14.00,,林安宁团队,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),22层,2209,2209,专用科研用房,现代生物研究院,,26.33,14.50,,林安宁团队,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),22层,2210,2210,专用科研用房,现代生物研究院,,35.41,19.50,,林安宁团队,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),22层,2211,2211,专用科研用房,现代生物研究院,,31.05,17.10,,林安宁团队,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),22层,2212,2212,专用科研用房,现代生物研究院,,31.05,17.10,,林安宁团队,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),22层,2213,2213,专用科研用房,现代生物研究院,,35.41,19.50,,林安宁团队,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),22层,2214,2214,专用科研用房,现代生物研究院,,26.33,14.50,,林安宁团队,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),22层,2215,2215,专用科研用房,现代生物研究院,,25.42,14.00,,林安宁团队,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),23层,2301,人员工作室、资料设备储藏室,资料档案室,党委宣传部,王晓艳,99.17,54.60,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),23层,2302,周成虎院士用房,专用科研用房,地理与海洋科学学院,周成虎,126.24,69.50,1,借用,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),23层,2303,企业改制清算独立办公室,普通办公用房,资本运营有限公司,,112.98,62.20,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),23层,2304,2304,普通教室,物理学院,刘民主,72.10,39.70,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),23层,2305,2305,普通教室,物理学院,肖林,36.32,20.00,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),23层,2306,2306,普通教室,物理学院,石荣章,36.32,20.00,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),23层,2307,2307,普通教室,物理学院,,36.14,19.90,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),23层,2308,2308,普通教室,物理学院,万贤纲,36.14,19.90,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),23层,2309,2309,专用科研用房,生命科学学院,王中生,112.98,62.20,1,太湖水专项专用科研用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),23层,2310,2310,普通教室,社会学院,,126.24,69.50,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),23层,2311,院士鼓楼工作室,正教授工作室,大气科学学院,伍荣生,99.17,54.60,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),23层,2312,磁带储藏室,资料档案室,党委宣传部,,82.73,45.55,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),23层,2313,影像资料室,资料档案室,党委宣传部,,36.23,19.95,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),23层,2314,成教办公室,专用科研用房,大气科学学院,包强,41.41,22.80,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),23层,2315,线性编辑室,资料档案室,党委宣传部,,41.32,22.75,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),24层,2401,2401,普通教室,计算机科学与技术学院,,68.29,37.60,,南京大学多媒体计算机研究所使用,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),24层,2402,2402,普通教室,物理学院,,67.20,37.00,,邹志刚院士装修过渡用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),24层,2403,2403,正教授工作室,物理学院,,71.70,39.48,,邹志刚院士装修过渡用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),24层,2404,2404,普通教室,物理学院,,34.14,18.80,,邹志刚院士装修过渡用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),24层,2405,2405,普通教室,物理学院,,33.60,18.50,,邹志刚院士装修过渡用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),24层,2406,2406,普通教室,物理学院,,35.78,19.70,,邹志刚院士装修过渡用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),24层,2407,2407,普通教室,物理学院,,35.78,19.70,,邹志刚院士装修过渡用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),24层,2408,2408,普通教室,空置用房,,33.60,18.50,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),24层,2409,2409,正教授工作室,空置用房,,34.14,18.80,,新生学院项目收房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),24层,2410,2410,专用科研用房,物理学院,王炜,71.70,39.48,1,待搬迁，南京大学物理学院（生物医学物理研究所）,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),24层,2411,2411,专用科研用房,医学院,"侯亚义,王婷婷",36.87,20.30,2,待搬迁,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),24层,2412,2412,专用科研用房,物理学院,王炜,36.87,20.30,1,待搬迁，南京大学物理学院（生物医学物理研究所）,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),24层,2413,都有为、候亚义合作项目用房,专用科研用房,物理学院,王炜,72.83,40.10,1,待搬迁，南京大学物理学院（生物医学物理研究所）,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),24层,2414,2414,专用科研用房,空置用房,,34.14,18.80,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),24层,2415,2415,专用科研用房,空置用房,,33.60,18.50,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),24层,2416,专用科研用房,用途未定,空置用房,,35.78,19.70,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),24层,2417,专用科研用房,用途未定,物理学院,,35.78,19.70,,邹志刚院士装修过渡用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),24层,2418,专用科研用房,用途未定,空置用房,,33.60,18.50,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),24层,2419,专用科研用房,用途未定,空置用房,,34.14,18.80,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),25层,2501,专用科研用房,专用科研用房,科学技术处/先进技术研究院,,65.47,36.05,,使用人：陈强,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),25层,2502,专用科研用房,专用科研用房,科学技术处/先进技术研究院,,75.95,41.82,,使用人：陈强,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),25层,2503,专用科研用房,专用科研用房,科学技术处/先进技术研究院,,70.10,38.60,,使用人：陈强,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),25层,2504,专用科研用房,专用科研用房,空置用房,,68.29,37.60,,内有部分以往用房单位遗弃的废旧家具,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),25层,2505,专用科研用房,专用科研用房,建筑与城市规划学院,,74.46,41.00,,内有部分以往用房单位遗弃的废旧家具,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),25层,2506,专用科研用房,专用科研用房,建筑与城市规划学院,,68.29,37.60,,内有部分以往用房单位遗弃的废旧家具,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),25层,2507,专用科研用房,专用科研用房,空置用房,,66.29,36.50,,内有部分以往用房单位遗弃的废旧家具,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),25层,2508,专用科研用房,专用科研用房,空置用房,,80.64,44.40,,内有部分以往用房单位遗弃的废旧家具,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),25层,2509,专用科研用房,专用科研用房,空置用房,,67.20,37.00,,内有部分以往用房单位遗弃的废旧家具,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),25层,2510,专用科研用房,专用科研用房,科学技术处/先进技术研究院,,59.57,32.80,,使用人：陈强,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),25层,2511,专用科研用房,专用科研用房,科学技术处/先进技术研究院,,37.41,20.60,,使用人：陈强,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),25层,2512,专用科研用房,专用科研用房,科学技术处/先进技术研究院,,37.41,20.60,,使用人：陈强,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),25层,2513,专用科研用房,专用科研用房,科学技术处/先进技术研究院,,59.57,32.80,,使用人：陈强,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),26层,2601,2601,普通教室,地球科学与工程学院,,45.40,25.00,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),26层,2602,2602,普通教室,地球科学与工程学院,,63.56,35.00,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),26层,2603,2603,专用科研用房,南京大学健康医疗大数据国家研究院,,37.96,20.90,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),26层,2604,2604,普通教室,地球科学与工程学院,,77.91,42.90,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),26层,2605-2606,2605-2606,普通教室,地球科学与工程学院,,154.21,84.90,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),26层,2607,2607,专用科研用房,南京大学健康医疗大数据国家研究院,,37.96,20.90,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),26层,2608-2609,2608-2609,专用科研用房,南京大学健康医疗大数据国家研究院,,108.98,60.00,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),26层,2610,正教授工作室,正教授工作室,地球科学与工程学院,,51.03,28.10,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),26层,2611-2612,2611-2612,专用科研用房,南京大学健康医疗大数据国家研究院,,182.72,100.60,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),27层,2701,2701,用途未定,空置用房,,54.48,30.00,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),27层,2702,2702,用途未定,空置用房,,54.48,30.00,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),27层,2703,2703,用途未定,空置用房,,37.96,20.90,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),27层,2704,2704,用途未定,空置用房,,77.91,42.90,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),27层,2705,2705,用途未定,空置用房,,77.91,42.90,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),27层,2706,2706,普通教室,空置用房,,77.91,42.90,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),27层,2707,2707,普通教室,空置用房,,37.96,20.90,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),27层,2708,2708,普通教室,空置用房,,54.48,30.00,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),27层,2709,2709,普通教室,空置用房,,54.48,30.00,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),27层,2710,2710,普通教室,空置用房,,77.91,42.90,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),27层,2711,2711,普通教室,空置用房,,77.91,42.90,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),27层,2712,普通实验室、实习场所,普通实验室、实习场所,空置用房,,77.91,42.90,,,,,,,,,,,
